Andrzej Wajda: Three War Films,Andrzej Wajda,,Poland
A Generation,Andrzej Wajda,1955,Poland
Kanal,Andrzej Wajda,1957,Poland
Ashes and Diamonds,Andrzej Wajda,1958,Poland
Divorce Italian Style,Pietro Germi,1961,Italy
Burden of Dreams,Les Blank,1982,United States
F For Fake,Orson Welles,1975,United States
Hoop Dreams,Steve James,1994,United States
The Phantom of Liberty,Luis Buñuel,1974,France
Heaven Can Wait,Ernst Lubitsch,1943,United States
Unfaithfully Yours,Preston Sturges,1948,United States
The Flowers of St. Francis,Roberto Rossellini,1950,Italy
The Browning Version,Anthony Asquith,1951,United Kingdom
Crazed Fruit,Kô Nakahira,1956,Japan
Le Notti Bianche,Luchino Visconti,1947,Italy
Au Hasard Balthazar,Robert Bresson,1966,France
Gate of Flesh,Seijun Suzuki,1964,Japan
Story of a Prostitute,Seijun Suzuki,1965,Japan
The Life Aquatic with Steve Zissou,Wes Anderson,2004,United States
An Angel At My Table,Jane Campion,1990,New Zealand
Harakiri,Masaki Kobayashi,1962,Japan
Bad Timing,Nicolas Roeg,1980,United States
The Man Who Fell To Earth,Nicolas Roeg,1976,United States
Boudu Saved From Drowning,Jean Renoir,1932,France
Le Samouraï,Jean-Pierre Melville,1967,France
Naked,Mike Leigh,1993,United Kingdom
Masculin féminin,Jean-Luc Godard,1966,France
Ugetsu,Kenji Mizoguchi,1953,Japan
Samurai Rebelllion,Masaki Kobayashi,1967,Japan
Sword of the Beast,Hideo Gosha,1965,Japan
Samurai Spy,Masahiro Shinoda,1965,Japan
Kill!,Kihachi Okamoto,1968,Japan
Pickpocket,Robert Bresson,1959,France
Shoot the Piano Player,François Truffaut,1960,France
Ran,Akira Kurosawa,1985,Japan
The Tales of Hoffman,Michael Powell,1951,United Kingdom
Forbidden Games,René Clément,1952,France
The Bad Sleep Well,Akira Kurosawa,1960,Japan
Young Mr. Lincoln,John Ford,1939,United States
The Virgin Spring,Ingmar Bergman,1960,Sweden
The Complete Mr. Arkadin,Orson Welles,1955,United States
The Children Are Watching Us,Vittorio De Sica,1944,Italy
La Bête humaine,Jean Renoir,1938,France
Kind Hearts and Coronets,Robert Hamer,1949,United Kingdom
Metropolitan,Whit Stillman,1990,United States
3 Films By Louis Malle,Louis Malle,,France
Murmur of the Heart,Louis Malle,1972,France
"Lacombe, Lucien",Louis Malle,1974,France
Au Revoir Les Enfants,Louis Malle,1987,France
Late Spring,Yasujiro Ozu,1949,Japan
Viridiana,Luis Buñuel,1961,Spain
Fists in the Pocket,Marco Bellocchio,1965,Italy
Harlan County USA,Barbara Kopple,1976,United States
Elevator to the Gallows,Louis Malle,1957,France
Dazed and Confused,Richard Linklater,1993,United States
À Nos Amours,Maurice Pialat,1983,France
Equinox,Jack Woods,1970,United States
Yi Yi,Edward Yang,2000,Taiwan
Koko: A Talking Gorilla,Barbet Schroeder,1978,France
A Canterbury Tale,Michael Powell,1944,United Kingdom
Six Moral Tales,Eric Rohmer,,France
The Bakery Girl of Monceau,Eric Rohmer,1963,France
Suzanne's Career,Eric Rohmer,1963,France
My Night at Maud's,Eric Rohmer,1969,France
La Collectionneuse,Eric Rohmer,1967,France
Claire's Knee,Eric Rohmer,1970,France
Love in the Afternoon,Eric Rohmer,1972,France
Kickin and Screaming,Noah Baumbach,1995,United States
Seduced and Abandoned,Pietro Germi,1964,Italy
The Sprit of the Beehive,Victor Erice,1973,Spain
Jigoku,Nobuo Nakagawa,1960,Japan
Sólo con tu pareja,Alfonso Cuarón,1991,Mexico
"Clean, Shaven",Lodge Kerrigan,1994,United States
Hands Over the City,Francesco Rosi,1963,Italy
Sweetie,Jane Campion,1989,New Zealand
The Fallen Idol,Carol Reed,1948,United Kingdom
Pandora's Box,George Wilhelm Pabst,1928,Germany
The Double Life of Veronique,Krzysztof Kieślowski,1991,France
Symbiopsychotaxiplasm,William Greaves,1968,United States
The Beales of Grey Gardens,Albert Maysles,2006,United States
Border Radio,Allison Anders,1987,United States
Mouchette,Robert Bresson,1967,France
Monsters and Madmen,,,United States
First Man Into Space,Robert Day,1959,United States
The Atomic Submarine,Spencer G. Bennet,1959,United States
The Haunted Strangler,Robert Day,1959,United States
Corridors of Blood,Robert Day,1959,United States
Paul Robeson: Portraits of the Artist,Paul Robeson,,
The Emperor Jones,Dudley Murphy,1933,United States
Body and Soul,Oscar Micheaux,1925,United States
Sanders of the River,Zoltan Korda,1935,United Kingdom
The Proud Valley,Pen Tennyson,1940,United Kingdom
Bicycle Thieves,Vittorio De Sica,1948,Italy
Green For Danger,Sidney Gilliat,1946,United Kingdom
49th Parallel,Michael Powell,1941,United Kingdom
When a Woman Ascends the Stairs,Mikio Naruse,1960,Japan
Fires on the Plain,Kon Ichikawa,1959,Japan
The Burmese Harp,Kon Ichikawa,1956,Japan
The Naked City,Jules Dassin,1948,United States
La Haine,Mathieu Kassovitz,1995,France
Overlord,Stuart Cooper,1974,United Kingdom
Brute Force,Jules Dassin,1947,United States
Vengeance is Mine,Shohei Imamura,1979,Japan
Army of Shadows,Jean-Pierre Melville,1969,France
Sansho the Bailiff,Kenji Mizoguchi,1954,Japan
La Jetée/Sans Soleil,Chris Marker,,France
The Two of Us,Claude Berri,1967,France
WR: Mysteries of the Organism,Dušan Makavejev,1971,Yugoslavia
Sweet Movie,Dušan Makavejev,1974,France
If…,Lindsay Anderson,1968,United Kingdom
Three Films By Hiroshi Teshigahara,Hiroshi Teshigahara,,Japan
Pitfall,Hiroshi Teshigahara,1962,Japan
Woman in the Dunes,Hiroshi Teshigahara,1964,Japan
The Face of Another,Hiroshi Teshigahara,1966,Japan
Ace In the Hole,Billy Wilder,1951,United States
Ivan's Childhood,Andrei Tarkovsky,1962,Soviet Union
Les Enfants Terribles,Jean-Pierre Melville,1950,France
House of Games,David Mamet,1987,United States
Stranger Than Paradise,Jim Jarmusch,1984,United States
Night On Earth,Jim Jarmusch,1991,United States
The Milky Way,Luis Buñuel,1969,France
Cría cuervos . . .,Carlos Suara,1976,Spain
Robinson Crusoe On Mars,Byron Haskin,1964,United States
The Threepenny Opera,George Wilhelm Pabst,1931,Germany
Martha Graham: Dance On Film,Nathan Kroll,1959,United States
Mala Noche,Gus Van Sant,1985,United States
Breathless,Jean-Luc Godard,1960,France
Days of Heaven,Terrence Malick,1978,United States
Under the Volcano,John Huston,1984,United States
Berlin Alexanderplatz,Rainer Werner Fassbinder,1980,Germany
Sawdust and Tinsel,Ingmar Bergman,1953,Sweden
Drunken Angel,Akira Kurosawa,1948,Japan
Two-Lane Blacktop,Monte Hellman,1971,United States
The Naked Prey,Cornel Wilde,1966,United States
Miss Julie,Alf Sjöberg,1951,Sweden
This Sporting Life,Lindsay Anderson,1963,United Kingdom
4 By Agnès Varda,Agnès Varda,,France
La Pointe Courte,Agnès Varda,1956,France
Le Bonheur,Agnès Varda,1965,France
Pierrot Le Fou,Jean-Luc Godard,1965,France
The Last Emperor,Bernardo Bertolucci,1987,China
Walker,Alex Cox,1987,United States
Mafioso,Alberto Lattuada,1962,Italy
Antonio Gaudi,Hiroshi Teshigahara,1984,Japan
The Ice Storm,Ang Lee,1997,United States
Death of a Cyclist,Juan Antonio Bardem,1955,Spain
Blast of Silence,Allen Baron,1961,United States
The Lovers,Louis Malle,1958,France
The Fire Within,Louis Malle,1963,France
The Thief of Bagdad,Ludwig Berger,1940,United Kingdom
Mishima: A Life in Four Chapters,Paul Scharder,1985,United States
Patriotism,Yukio Mishima,1966,Japan
Classe Tous Risques,Claude Sautet,1960,France
The Furies,Anthony Mann,1950,United States
Before the Rain,Milcho Manchevski,1994,Macedonia
Vampyr,Carl Th. Dreyer,1932,Denmark
